,Unnamed: 0.1,file,trans,speaker,start,end,duration,dialect,dialect_int,trans_length,trans_int,edu,work,age,edu_int,work_int,age_int
38434,46157,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,THEY HAD A SHOW DOWN IN TOWN ONE DAY,DCA_se1_ag3_m_01,530.6699,532.6351,1.9651999999999816,africa_american,0,36,21 9 6 26 28 9 2 5 28 2 28 20 9 16 24 28 5 16 24 15 28 10 15 28 21 16 24 15 28 16 15 6 28 5 2 26,High School,Lower Working Class,30 to 50,3,1,2
38440,22792,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_02_2.wav,YOU KNOW WE'RE JUST PEOPLE,DCA_se3_ag1_m_02,37.912,39.1692,1.2571999999999974,africa_american,0,26,26 16 22 28 12 15 16 24 28 24 6 1 19 6 28 11 22 20 21 28 17 6 16 17 13 6,Student_hs,Upper Middle Class,-19,7,4,0
38443,687,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_03_1.wav,SHE DON'T HAVE A DATE AND THE MAN DON'T HAVE A DATE,DCA_se2_ag1_m_03,487.5479,489.497,1.9490999999999303,africa_american,0,51,20 9 6 28 5 16 15 1 21 28 9 2 23 6 28 2 28 5 2 21 6 28 2 15 5 28 21 9 6 28 14 2 15 28 5 16 15 1 21 28 9 2 23 6 28 2 28 5 2 21 6,Student_hs,Upper Working Class,-19,7,5,0
38445,38367,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_03_1.wav,DUCK MY UH EIGHTH PERIOD THAT WAS,DCA_se1_ag1_m_03,1930.8177,1933.1946,2.376899999999978,africa_american,0,33,5 22 4 12 28 14 26 28 22 9 28 6 10 8 9 21 9 28 17 6 19 10 16 5 28 21 9 2 21 28 24 2 20,Student_ms,Lower Working Class,-19,8,1,0
38448,20858,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_01_1.wav,THAT WAS THE ENDING OF THE STORY OF COURSE,DCA_se1_ag4_m_01,283.6599,285.6037,1.9438000000000104,africa_american,0,42,21 9 2 21 28 24 2 20 28 21 9 6 28 6 15 5 10 15 8 28 16 7 28 21 9 6 28 20 21 16 19 26 28 16 7 28 4 16 22 19 20 6,Some High School,Lower Working Class,51+,5,1,3
38453,19686,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_03_1.wav,ME AND YOU ARE PLAYING FOR KEEPS AND YOU WOULD HAVE TO PUT UP,DCA_se1_ag1_m_03,636.7097,639.0691,2.3594000000000506,africa_american,0,61,14 6 28 2 15 5 28 26 16 22 28 2 19 6 28 17 13 2 26 10 15 8 28 7 16 19 28 12 6 6 17 20 28 2 15 5 28 26 16 22 28 24 16 22 13 5 28 9 2 23 6 28 21 16 28 17 22 21 28 22 17,Student_ms,Lower Working Class,-19,8,1,0
38459,6927,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_01_1.wav,ANYBODY CATCH A BALL THAT YOU KNOCK UP IN THE AIR THAT'S OUT,DCA_se2_ag1_m_01,217.7699,220.2506,2.4806999999999846,africa_american,0,60,2 15 26 3 16 5 26 28 4 2 21 4 9 28 2 28 3 2 13 13 28 21 9 2 21 28 26 16 22 28 12 15 16 4 12 28 22 17 28 10 15 28 21 9 6 28 2 10 19 28 21 9 2 21 1 20 28 16 22 21,Student_hs,Upper Working Class,-19,7,5,0
38467,39742,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_01_1.wav,I FORGET THE NAME SOME OF 'EM UM,DCA_se2_ag3_m_01,352.2084,354.0639,1.8555000000000064,africa_american,0,32,10 28 7 16 19 8 6 21 28 21 9 6 28 15 2 14 6 28 20 16 14 6 28 16 7 28 1 6 14 28 22 14,Some High School,Upper Working Class,30 to 50,5,5,2
38470,44293,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_03_1.wav,STAY IN HOSPITAL FOR AWHILE,DCA_se3_ag2_f_03,282.3737,283.9433,1.5696000000000367,africa_american,0,27,20 21 2 26 28 10 15 28 9 16 20 17 10 21 2 13 28 7 16 19 28 2 24 9 10 13 6,Some College,Lower Middle Class,20 to 29,4,0,1
38473,37217,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_04_1.wav,TRIED TO PLAY A LITTLE FOOTBALL,DCA_se2_ag1_m_04,61.6372,63.0128,1.3755999999999986,africa_american,0,31,21 19 10 6 5 28 21 16 28 17 13 2 26 28 2 28 13 10 21 21 13 6 28 7 16 16 21 3 2 13 13,Student_hs,Upper Working Class,-19,7,5,0
38475,53134,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_05_1.wav,AND I LIKE THE COMEDY SHOWS,DCA_se3_ag2_f_05,244.183,245.8478,1.6648000000000138,africa_american,0,27,2 15 5 28 10 28 13 10 12 6 28 21 9 6 28 4 16 14 6 5 26 28 20 9 16 24 20,College,Lower Middle Class,20 to 29,0,0,1
38476,31982,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_02_1.wav,I NEVER DID LIKE THE GAME TOO MUCH,DCA_se2_ag3_m_02,218.2354,219.7042,1.4687999999999874,africa_american,0,34,10 28 15 6 23 6 19 28 5 10 5 28 13 10 12 6 28 21 9 6 28 8 2 14 6 28 21 16 16 28 14 22 4 9,Some High School,Upper Working Class,30 to 50,5,5,2
38481,35944,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_02_1.wav,MADE UP A LOT OF GAMES YOU KNOW JUST SOMETHING THAT SEEMED LIKE IT MIGHT BE FUN AT THE TIME,DCA_se3_ag1_m_02,36.6947,40.6517,3.9570000000000007,africa_american,0,91,14 2 5 6 28 22 17 28 2 28 13 16 21 28 16 7 28 8 2 14 6 20 28 26 16 22 28 12 15 16 24 28 11 22 20 21 28 20 16 14 6 21 9 10 15 8 28 21 9 2 21 28 20 6 6 14 6 5 28 13 10 12 6 28 10 21 28 14 10 8 9 21 28 3 6 28 7 22 15 28 2 21 28 21 9 6 28 21 10 14 6,Student_hs,Upper Middle Class,-19,7,4,0
38482,16899,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_02_1.wav,HE GETS SOMEBODY ELSE TO DO IT FOR HIM,DCA_se1_ag4_m_02,375.9089,377.4057,1.4968000000000077,africa_american,0,38,9 6 28 8 6 21 20 28 20 16 14 6 3 16 5 26 28 6 13 20 6 28 21 16 28 5 16 28 10 21 28 7 16 19 28 9 10 14,Some High School,Lower Working Class,51+,5,1,3
38487,41592,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,APPROACH THE BIGGER BOYS,DCA_se2_ag1_m_05,1663.7384,1665.0813,1.3429000000000997,africa_american,0,24,2 17 17 19 16 2 4 9 28 21 9 6 28 3 10 8 8 6 19 28 3 16 26 20,High School,Upper Working Class,-19,3,5,0
38496,13601,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_01_1.wav,I HAVE QUITE A FEW RELATIVES,DCA_se3_ag2_f_01,1591.6018,1593.1345,1.5326999999999769,africa_american,0,28,10 28 9 2 23 6 28 18 22 10 21 6 28 2 28 7 6 24 28 19 6 13 2 21 10 23 6 20,Student_college,Upper Middle Class,20 to 29,6,4,1
38497,6638,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_03_1.wav,IF YOU GET ALL OF MINE OUT YOU GET TO KEEP 'EM,DCA_se1_ag1_m_03,650.9292,653.2226,2.29340000000002,africa_american,0,46,10 7 28 26 16 22 28 8 6 21 28 2 13 13 28 16 7 28 14 10 15 6 28 16 22 21 28 26 16 22 28 8 6 21 28 21 16 28 12 6 6 17 28 1 6 14,Student_ms,Lower Working Class,-19,8,1,0
38504,56911,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_01_1.wav,THE REGULAR COURSES MATH ENGLISH,DCA_se3_ag2_m_01,870.6863,873.0551,2.3688000000000784,africa_american,0,32,21 9 6 28 19 6 8 22 13 2 19 28 4 16 22 19 20 6 20 28 14 2 21 9 28 6 15 8 13 10 20 9,Some College,Lower Middle Class,20 to 29,4,0,1
38507,34714,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_03_1.wav,THINK I STAYED IN HIGH SCHOOL FOR ABOUT,DCA_se2_ag2_m_03,1545.5482,1546.9984,1.4501999999999953,africa_american,0,39,21 9 10 15 12 28 10 28 20 21 2 26 6 5 28 10 15 28 9 10 8 9 28 20 4 9 16 16 13 28 7 16 19 28 2 3 16 22 21,High School,Upper Working Class,20 to 29,3,5,1
38509,26994,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_02_1.wav,MY FATHER PUT 'EM AWAY,DCA_se3_ag1_f_02,994.004,995.4542,1.4502000000001092,africa_american,0,22,14 26 28 7 2 21 9 6 19 28 17 22 21 28 1 6 14 28 2 24 2 26,Student_ms,Lower Middle Class,-19,8,0,0
38513,16533,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_02_1.wav,SEE THEN YOU SHOOT LIKE I SAID IT'S COLOR TO 'EM,DCA_se1_ag4_m_02,65.5192,67.3627,1.843500000000006,africa_american,0,48,20 6 6 28 21 9 6 15 28 26 16 22 28 20 9 16 16 21 28 13 10 12 6 28 10 28 20 2 10 5 28 10 21 1 20 28 4 16 13 16 19 28 21 16 28 1 6 14,Some High School,Lower Working Class,51+,5,1,3
38518,3229,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_05_1.wav,THEY PUT THE REAL MAN,DCA_se3_ag2_f_05,329.278,330.6602,1.3821999999999548,africa_american,0,21,21 9 6 26 28 17 22 21 28 21 9 6 28 19 6 2 13 28 14 2 15,College,Lower Middle Class,20 to 29,0,0,1
38519,23858,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_03_1.wav,SAW QUITE A FEW I REMEMBER VERY WELL,DCA_se2_ag3_m_03,644.8947,646.633,1.7383000000000948,africa_american,0,36,20 2 24 28 18 22 10 21 6 28 2 28 7 6 24 28 10 28 19 6 14 6 14 3 6 19 28 23 6 19 26 28 24 6 13 13,High School,Upper Working Class,30 to 50,3,5,2
38524,15035,coraal/DCA_audio_2018.10.06/DCA_se2_ag4_m_01_1.wav,NOT PARTICULARLY NO,DCA_se2_ag4_m_01,192.1361,193.4647,1.3285999999999945,africa_american,0,19,15 16 21 28 17 2 19 21 10 4 22 13 2 19 13 26 28 15 16,Elementary School,Upper Working Class,51+,1,5,3
38531,46431,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,WE MADE THE PLANES OUT OF THE BALSA WOOD,DCA_se3_ag3_m_01,526.0943,528.7709,2.6766000000000085,africa_american,0,40,24 6 28 14 2 5 6 28 21 9 6 28 17 13 2 15 6 20 28 16 22 21 28 16 7 28 21 9 6 28 3 2 13 20 2 28 24 16 16 5,Some College,Upper Middle Class,30 to 50,4,4,2
38534,21850,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,YOU HAD TO GO TO A PARTY EVERY WEEK AND CRASH IT,DCA_se2_ag1_m_05,1916.3064,1919.2916,2.9852000000000767,africa_american,0,48,26 16 22 28 9 2 5 28 21 16 28 8 16 28 21 16 28 2 28 17 2 19 21 26 28 6 23 6 19 26 28 24 6 6 12 28 2 15 5 28 4 19 2 20 9 28 10 21,High School,Upper Working Class,-19,3,5,0
38536,60920,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_04_1.wav,HE'S A FINE PERSON AND,DCA_se3_ag3_m_04,1103.1533,1105.2318,2.0785000000000764,africa_american,0,22,9 6 1 20 28 2 28 7 10 15 6 28 17 6 19 20 16 15 28 2 15 5,High School,Lower Middle Class,30 to 50,3,0,2
38538,7796,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_02_1.wav,THEY JUST WANTED ME TO BE GOOD AT SOMETHING,DCA_se3_ag2_m_02,1090.0221,1091.9603,1.938200000000052,africa_american,0,43,21 9 6 26 28 11 22 20 21 28 24 2 15 21 6 5 28 14 6 28 21 16 28 3 6 28 8 16 16 5 28 2 21 28 20 16 14 6 21 9 10 15 8,High School,Lower Middle Class,20 to 29,3,0,1
38539,52431,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,I PLAYED BASEBALL,DCA_se3_ag4_m_02,2.9984,4.4532,1.4547999999999996,africa_american,0,17,10 28 17 13 2 26 6 5 28 3 2 20 6 3 2 13 13,High School,Lower Middle Class,51+,3,0,3
38540,55885,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_01_1.wav,HE WAS SICK OF HELPING PEOPLE SO,DCA_se3_ag1_m_01,1135.9446,1137.7585,1.813899999999876,africa_american,0,32,9 6 28 24 2 20 28 20 10 4 12 28 16 7 28 9 6 13 17 10 15 8 28 17 6 16 17 13 6 28 20 16,Student_ms,Upper Class,-19,8,3,0
38548,61164,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_02_1.wav,AND WHEN YOU GET TO THIS NUMBER YOU HAVE TO PUT TWO FEET IN IT,DCA_se2_ag1_f_02,43.6062,46.0915,2.4853000000000023,africa_american,0,62,2 15 5 28 24 9 6 15 28 26 16 22 28 8 6 21 28 21 16 28 21 9 10 20 28 15 22 14 3 6 19 28 26 16 22 28 9 2 23 6 28 21 16 28 17 22 21 28 21 24 16 28 7 6 6 21 28 10 15 28 10 21,Student_ms,Upper Working Class,-19,8,5,0
38550,2792,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_04_1.wav,WELL SHE WORKED THERE AND THE MAN HER BOSS HE GAVE US LOTS OF CANDY,DCA_se1_ag1_m_04,1436.2282,1439.744,3.5157999999998992,africa_american,0,67,24 6 13 13 28 20 9 6 28 24 16 19 12 6 5 28 21 9 6 19 6 28 2 15 5 28 21 9 6 28 14 2 15 28 9 6 19 28 3 16 20 20 28 9 6 28 8 2 23 6 28 22 20 28 13 16 21 20 28 16 7 28 4 2 15 5 26,Student_ms,Lower Working Class,-19,8,1,0
38554,20775,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,OR INDIAN BALL OR KICK BALL,DCA_se3_ag1_m_04,56.7253,58.302,1.5767000000000024,africa_american,0,27,16 19 28 10 15 5 10 2 15 28 3 2 13 13 28 16 19 28 12 10 4 12 28 3 2 13 13,Student_hs,Lower Middle Class,-19,7,0,0
38555,18684,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_03_1.wav,YOU KNOW THEY DIDN'T KILL HIM YET,DCA_se2_ag1_f_03,1623.6719,1624.9589,1.2870000000000346,africa_american,0,33,26 16 22 28 12 15 16 24 28 21 9 6 26 28 5 10 5 15 1 21 28 12 10 13 13 28 9 10 14 28 26 6 21,Student_ms,Upper Working Class,-19,8,5,0
38556,28622,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_02_1.wav,AND THEY HAD A TARGET WHAT YOU SHOOT AT,DCA_se1_ag1_m_02,990.657,992.4756,1.8186000000000604,africa_american,0,39,2 15 5 28 21 9 6 26 28 9 2 5 28 2 28 21 2 19 8 6 21 28 24 9 2 21 28 26 16 22 28 20 9 16 16 21 28 2 21,Student_ms,Lower Working Class,-19,8,1,0
38561,26243,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_03_1.wav,THERE WAS ONE ON OUTER LIMITS IN WHICH UH,DCA_se3_ag1_m_03,277.278,279.2399,1.9618999999999567,africa_american,0,41,21 9 6 19 6 28 24 2 20 28 16 15 6 28 16 15 28 16 22 21 6 19 28 13 10 14 10 21 20 28 10 15 28 24 9 10 4 9 28 22 9,Student_hs,Upper Class,-19,7,3,0
38569,61141,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,UH YEAH THE SUPER HERO CARTOONS AND,DCA_se3_ag1_m_04,386.8618,389.1621,2.3002999999999934,africa_american,0,35,22 9 28 26 6 2 9 28 21 9 6 28 20 22 17 6 19 28 9 6 19 16 28 4 2 19 21 16 16 15 20 28 2 15 5,Student_hs,Lower Middle Class,-19,7,0,0
38571,60694,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_04_1.wav,SHE WOULD WRITE ON THE LAVATORY DOORS AND EVERYTHING,DCA_se3_ag1_f_04,817.8838,820.2914,2.407600000000002,africa_american,0,52,20 9 6 28 24 16 22 13 5 28 24 19 10 21 6 28 16 15 28 21 9 6 28 13 2 23 2 21 16 19 26 28 5 16 16 19 20 28 2 15 5 28 6 23 6 19 26 21 9 10 15 8,Student_hs,Lower Middle Class,-19,7,0,0
38572,46991,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_01_1.wav,UH HE WAS SECRETARY FOR A LONG TIME,DCA_se3_ag4_m_01,2428.2714,2430.6681,2.3966999999997824,africa_american,0,35,22 9 28 9 6 28 24 2 20 28 20 6 4 19 6 21 2 19 26 28 7 16 19 28 2 28 13 16 15 8 28 21 10 14 6,College,Unknown,51+,0,2,3
38573,50565,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_03_1.wav,I WAS ALWAYS AFRAID OF GOING TO JAIL,DCA_se2_ag2_m_03,2063.061,2064.8226,1.7615999999998166,africa_american,0,36,10 28 24 2 20 28 2 13 24 2 26 20 28 2 7 19 2 10 5 28 16 7 28 8 16 10 15 8 28 21 16 28 11 2 10 13,High School,Upper Working Class,20 to 29,3,5,1
38577,1274,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_03_1.wav,AND SHE DIDN'T KNOW WHAT WAS GOING ON,DCA_se3_ag1_m_03,386.5935,388.3784,1.7848999999999933,africa_american,0,37,2 15 5 28 20 9 6 28 5 10 5 15 1 21 28 12 15 16 24 28 24 9 2 21 28 24 2 20 28 8 16 10 15 8 28 16 15,Student_hs,Upper Class,-19,7,3,0
38578,49556,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,THE OTHER KIDS WOULD GO AND HIDE,DCA_se3_ag4_m_02,57.0124,58.4905,1.4780999999999975,africa_american,0,32,21 9 6 28 16 21 9 6 19 28 12 10 5 20 28 24 16 22 13 5 28 8 16 28 2 15 5 28 9 10 5 6,High School,Lower Middle Class,51+,3,0,3
38582,34043,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,UH HIDE AND GO SEEK,DCA_se3_ag3_m_01,20.9566,22.8544,1.8977999999999968,africa_american,0,19,22 9 28 9 10 5 6 28 2 15 5 28 8 16 28 20 6 6 12,Some College,Upper Middle Class,30 to 50,4,4,2
38594,55009,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_02_1.wav,AND THEN UH,DCA_se3_ag2_f_02,386.8066,388.1291,1.322499999999991,africa_american,0,11,2 15 5 28 21 9 6 15 28 22 9,Some College,Lower Middle Class,20 to 29,4,0,1
38606,19962,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_02_1.wav,SO THAT'S THE REASON WHY I SAY EVERYTHING CAUSE IT DIDN'T REALLY MATTER,DCA_se1_ag3_f_02,962.1816,965.0663,2.8846999999999525,africa_american,0,71,20 16 28 21 9 2 21 1 20 28 21 9 6 28 19 6 2 20 16 15 28 24 9 26 28 10 28 20 2 26 28 6 23 6 19 26 21 9 10 15 8 28 4 2 22 20 6 28 10 21 28 5 10 5 15 1 21 28 19 6 2 13 13 26 28 14 2 21 21 6 19,Some College,Lower Working Class,30 to 50,4,1,2
38609,29591,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_02_1.wav,NOT VERY MUCH IT BORES ME,DCA_se3_ag2_f_02,291.9731,293.9547,1.9816000000000145,africa_american,0,25,15 16 21 28 23 6 19 26 28 14 22 4 9 28 10 21 28 3 16 19 6 20 28 14 6,Some College,Lower Middle Class,20 to 29,4,0,1
38611,34460,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,WHICHEVER SIDE YOU CHOOSE,DCA_se1_ag3_m_01,84.6439,86.4346,1.7907000000000008,africa_american,0,25,24 9 10 4 9 6 23 6 19 28 20 10 5 6 28 26 16 22 28 4 9 16 16 20 6,High School,Lower Working Class,30 to 50,3,1,2
38612,5453,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_01_1.wav,YOU ON YOUR KNEES AND UH,DCA_se2_ag1_m_01,22.2133,23.736,1.5227000000000004,africa_american,0,24,26 16 22 28 16 15 28 26 16 22 19 28 12 15 6 6 20 28 2 15 5 28 22 9,Student_hs,Upper Working Class,-19,7,5,0
38619,28102,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,AT THAT TIME I WOULD SAY NO,DCA_se1_ag3_m_01,1916.8705,1918.9448,2.0742999999999943,africa_american,0,27,2 21 28 21 9 2 21 28 21 10 14 6 28 10 28 24 16 22 13 5 28 20 2 26 28 15 16,High School,Lower Working Class,30 to 50,3,1,2
38621,28472,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,YOU KNOW CAUSE IF YOU START WRESTLING WITH THEM YOU MIGHT HURT 'EM YOU KNOW,DCA_se2_ag2_m_02,431.5147,433.7624,2.2477000000000094,africa_american,0,75,26 16 22 28 12 15 16 24 28 4 2 22 20 6 28 10 7 28 26 16 22 28 20 21 2 19 21 28 24 19 6 20 21 13 10 15 8 28 24 10 21 9 28 21 9 6 14 28 26 16 22 28 14 10 8 9 21 28 9 22 19 21 28 1 6 14 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,20 to 29,3,5,1
38624,21792,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_05_1.wav,IT WAS IN A GREAT BIG BOX AND EVERYTHING WITH A,DCA_se3_ag1_f_05,606.2295,608.2384,2.008899999999926,africa_american,0,47,10 21 28 24 2 20 28 10 15 28 2 28 8 19 6 2 21 28 3 10 8 28 3 16 25 28 2 15 5 28 6 23 6 19 26 21 9 10 15 8 28 24 10 21 9 28 2,Student_hs,Lower Middle Class,-19,7,0,0
38628,38064,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_01_1.wav,NOT USUALLY UM,DCA_se3_ag2_m_01,1633.8147,1635.1577,1.3430000000000746,africa_american,0,14,15 16 21 28 22 20 22 2 13 13 26 28 22 14,Some College,Lower Middle Class,20 to 29,4,0,1
38636,36200,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_02_1.wav,YOU KNOW I'D LIKE THAT,DCA_se1_ag3_f_02,1360.6758,1362.0217,1.3459000000000287,africa_american,0,22,26 16 22 28 12 15 16 24 28 10 1 5 28 13 10 12 6 28 21 9 2 21,Some College,Lower Working Class,30 to 50,4,1,2
38640,37862,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,A LOT OF PEOPLE A BIG SITUATION AGAIN,DCA_se3_ag1_m_04,1843.937,1845.886,1.9489999999998413,africa_american,0,37,2 28 13 16 21 28 16 7 28 17 6 16 17 13 6 28 2 28 3 10 8 28 20 10 21 22 2 21 10 16 15 28 2 8 2 10 15,Student_hs,Lower Middle Class,-19,7,0,0
38642,15708,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_03_1.wav,WORK YOUR WAY UP YOU SEE,DCA_se2_ag1_m_03,1275.981,1277.3228,1.3417999999999208,africa_american,0,24,24 16 19 12 28 26 16 22 19 28 24 2 26 28 22 17 28 26 16 22 28 20 6 6,Student_hs,Upper Working Class,-19,7,5,0
38644,20411,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_05_1.wav,HE USED TO HAVE A PARTY IN THE ROOM ALMOST EVERY DAY YOU KNOW,DCA_se3_ag1_m_05,746.7619,748.8989,2.1370000000000573,africa_american,0,61,9 6 28 22 20 6 5 28 21 16 28 9 2 23 6 28 2 28 17 2 19 21 26 28 10 15 28 21 9 6 28 19 16 16 14 28 2 13 14 16 20 21 28 6 23 6 19 26 28 5 2 26 28 26 16 22 28 12 15 16 24,Student_hs,Lower Middle Class,-19,7,0,0
38661,59656,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_04_1.wav,SHE WAS A GOVERNESS FOR THIS LITTLE BOY,DCA_se3_ag1_f_04,391.9244,393.6857,1.7613000000000056,africa_american,0,39,20 9 6 28 24 2 20 28 2 28 8 16 23 6 19 15 6 20 20 28 7 16 19 28 21 9 10 20 28 13 10 21 21 13 6 28 3 16 26,Student_hs,Lower Middle Class,-19,7,0,0
38663,8680,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,QUITE A BIT ON ME WHEN,DCA_se3_ag4_m_02,1317.8123,1319.4018,1.5895000000000437,africa_american,0,22,18 22 10 21 6 28 2 28 3 10 21 28 16 15 28 14 6 28 24 9 6 15,High School,Lower Middle Class,51+,3,0,3
38664,30243,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_01_1.wav,AND YOU KNOW YOU USUALLY PLAY TIL THIRTY TWO FIRST TEAM SCORE THIRTY TWO,DCA_se2_ag1_m_01,92.8284,95.8253,2.996899999999997,africa_american,0,72,2 15 5 28 26 16 22 28 12 15 16 24 28 26 16 22 28 22 20 22 2 13 13 26 28 17 13 2 26 28 21 10 13 28 21 9 10 19 21 26 28 21 24 16 28 7 10 19 20 21 28 21 6 2 14 28 20 4 16 19 6 28 21 9 10 19 21 26 28 21 24 16,Student_hs,Upper Working Class,-19,7,5,0
38669,30710,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_03_1.wav,AIN'T NOBODY THERE PARTICULARLY CARES ABOUT TURKEY SO,DCA_se3_ag3_m_03,900.8133,903.7604,2.9470999999999776,africa_american,0,53,2 10 15 1 21 28 15 16 3 16 5 26 28 21 9 6 19 6 28 17 2 19 21 10 4 22 13 2 19 13 26 28 4 2 19 6 20 28 2 3 16 22 21 28 21 22 19 12 6 26 28 20 16,Graduate School,Upper Class,30 to 50,2,3,2
38672,21662,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_06_1.wav,IF SOMEBODY HIT IT AND YOU MISS IT,DCA_se1_ag1_m_06,97.4389,99.3973,1.9583999999999973,africa_american,0,34,10 7 28 20 16 14 6 3 16 5 26 28 9 10 21 28 10 21 28 2 15 5 28 26 16 22 28 14 10 20 20 28 10 21,Student_hs,Lower Working Class,-19,7,1,0
38675,12305,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_01_1.wav,WELL SHE IS STILL,DCA_se3_ag2_f_01,531.8671,533.1836,1.3164999999999054,africa_american,0,17,24 6 13 13 28 20 9 6 28 10 20 28 20 21 10 13 13,Student_college,Upper Middle Class,20 to 29,6,4,1
38677,36888,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_02_1.wav,AND THEN YOU GET A TRY OUT,DCA_se2_ag3_m_02,1604.8856,1606.3055,1.4198999999998705,africa_american,0,26,2 15 5 28 21 9 6 15 28 26 16 22 28 8 6 21 28 2 28 21 19 26 28 16 22 21,Some High School,Upper Working Class,30 to 50,5,5,2
38678,39537,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_03_1.wav,AND UM THEN HE GOT THE MONEY,DCA_se2_ag1_f_03,1235.1874,1236.7242,1.5368000000000848,africa_american,0,28,2 15 5 28 22 14 28 21 9 6 15 28 9 6 28 8 16 21 28 21 9 6 28 14 16 15 6 26,Student_ms,Upper Working Class,-19,8,5,0
38679,28163,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,THEY WOULD JUST ELIMINATE YOU,DCA_se2_ag1_m_05,1091.3165,1092.6139,1.2974000000001524,africa_american,0,29,21 9 6 26 28 24 16 22 13 5 28 11 22 20 21 28 6 13 10 14 10 15 2 21 6 28 26 16 22,High School,Upper Working Class,-19,3,5,0
38681,51412,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_05_1.wav,I GOT A LOT OF CLOTHES AND A,DCA_se3_ag1_f_05,1367.4912,1368.6998,1.2086000000001604,africa_american,0,28,10 28 8 16 21 28 2 28 13 16 21 28 16 7 28 4 13 16 21 9 6 20 28 2 15 5 28 2,Student_hs,Lower Middle Class,-19,7,0,0
